symbol,company,last.sale.price,market.cap,country,ipo.year,industry
AMP,Ameriprise Financial Inc. Common Stock,305.41,34172269010,United States,NA,Investment Managers
AMPI,Advanced Merger Partners Inc. Class A Common Stock,9.7158,349161563,,2021,
AMPS,Altus Power Inc. Class A Common Stock,10.1,1566081558,,2021,
AMPY,Amplify Energy Corp. Common Stock,3.17,120533636,United States,2016,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,59.35,1092066292,United States,2018,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,78.9,4068041394,United States,2010,Water Sewer Pipeline Comm & Power Line Construction
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,4.91,733413353,,2018,Biotechnology: Pharmaceutical Preparations
AMT,American Tower Corporation (REIT) Common Stock,288.88,131559908789,United States,NA,Trusts Except Educational Religious and Charitable
AMWL,American Well Corporation Class A Common Stock,5.72,1486965835,United States,2020,Retail: Computer Software & Peripheral Equipment
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,21.03,68086890499,Mexico,NA,Telecommunications Equipment
AN,AutoNation Inc. Common Stock,113.02,7407121035,United States,NA,Other Specialty Stores
ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,9.77,386220313,,2021,Biotechnology: Pharmaceutical Preparations
ANET,Arista Networks Inc. Common Stock,145.71,44774290442,,2014,Computer peripheral equipment
ANF,Abercrombie & Fitch Company Common Stock,35.34,1996482622,United States,NA,Clothing/Shoe/Accessory Stores
ANTM,Anthem Inc. Common Stock,467.67,113510372525,United States,NA,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,17.96,145486237,United States,2020,Specialty Chemicals
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,10.42,1098591010,United States,2007,Investment Managers
AOMR,Angel Oak Mortgage Inc. Common Stock,16.1,407845683,,2021,Real Estate Investment Trusts
AON,Aon plc Class A Ordinary Shares (Ireland),300.68,66249547836,United States,NA,Specialty Insurers
AOS,A.O. Smith Corporation Common Stock,85.81,13657699973,United States,NA,Industrial Machinery/Components
AP,Ampco-Pittsburgh Corporation Common Stock,4.7,89740775,United States,NA,Metal Fabrications
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,47.65,3107537206,United States,2013,Investment Managers
APD,Air Products and Chemicals Inc. Common Stock,305.4,67702401101,United States,NA,Specialty Chemicals
APG,APi Group Corporation Common Stock,25.53,5734681177,,2020,Military/Government/Technical
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares,9.77,842662500,,2021,Business Services
APH,Amphenol Corporation Common Stock,87.94,52590563149,United States,NA,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,16.21,3701621809,United States,2015,Real Estate Investment Trusts
APO,Apollo Global Management Inc. Class A Common Stock,72.8,17950986290,United States,2011,Investment Managers
APO^A,Apollo Global Management Inc. 6.375% Series A Preferred Shares,25.56,NA,United States,NA,
APO^B,Apollo Global Management Inc 6.375% Series B Preferred Shares,26.67,NA,United States,NA,
APRN,Blue Apron Holdings Inc. Class A Common Stock,6.29,198581741,United States,2017,Catalog/Specialty Distribution
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,9.88,1008760350,United States,2020,Business Services
APTS,Preferred Apartment Communities Inc. Common Stock,17.26,913850601,United States,2011,Real Estate Investment Trusts
APTV,Aptiv PLC Ordinary Shares,163.21,44150612789,United Kingdom,2011,Auto Parts:O.E.M.
APTV^A,Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares,182.65,NA,United Kingdom,NA,
AQN,Algonquin Power & Utilities Corp. Common Shares,14.45,9708872491,,2016,Electric Utilities: Central
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,26.9,0,,2018,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,27.08,0,,2019,Electric Utilities: Central
AQNU,Algonquin Power & Utilities Corp. Corporate Units,46.68,0,,2021,Electric Utilities: Central
AQUA,Evoqua Water Technologies Corp. Common Stock,47.08,5677248813,United States,2017,Office Equipment/Supplies/Services
AR,Antero Resources Corporation Common Stock,18.71,5873630150,,2013,Oil & Gas Production
ARC,ARC Document Solutions Inc. Common Stock,3.35,144467768,United States,2004,Business Services
ARCH,Arch Resources Inc. Class A Common Stock,93.56,1432971416,United States,2016,Coal Mining
ARCO,Arcos Dorados Holdings Inc. Class A Shares,5.61,1180783386,Argentina,2011,Restaurants
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,15.7,359764542,United States,2012,Investment Managers
ARE,Alexandria Real Estate Equities Inc. Common Stock,223.57,34645379059,United States,NA,Real Estate Investment Trusts
ARES,Ares Management Corporation Class A Common Stock,80.92,13845692145,,2014,Investment Managers
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,25.73,0,Bermuda,NA,Specialty Insurers
ARGO,Argo Group International Holdings Ltd.,57.93,2020175917,Bermuda,NA,Specialty Insurers
ARGO^A,Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A,26.82,NA,Bermuda,NA,
